Date,Open,High,Low,Close,Adj Close,Volume
2020-08-10,5800.0,5825.0,5650.0,5800.0,5353.37744140625,25081200
2020-08-11,5825.0,6100.0,5800.0,5975.0,5514.90185546875,58989100
2020-08-12,6000.0,6275.0,5950.0,6150.0,5676.42626953125,46455200
2020-08-13,6250.0,6250.0,6050.0,6050.0,5584.12646484375,42994600
2020-08-14,6075.0,6100.0,5950.0,6025.0,5561.05126953125,33326700
2020-08-18,6025.0,6225.0,6025.0,6150.0,5676.42626953125,57990600
2020-08-19,6175.0,6250.0,6075.0,6100.0,5630.2763671875,32255900
2020-08-24,6050.0,6175.0,5925.0,6000.0,5537.9765625,66243200
2020-08-25,6050.0,6275.0,6050.0,6250.0,5768.7255859375,66182900
2020-08-26,6250.0,6350.0,6175.0,6350.0,5861.025390625,39351700
2020-08-27,6350.0,6350.0,6200.0,6300.0,5814.87548828125,46725100
2020-08-28,6275.0,6350.0,6200.0,6225.0,5745.65087890625,37827500
2020-08-31,6225.0,6300.0,5900.0,5950.0,5491.82666015625,111409400
2020-09-01,5975.0,6125.0,5875.0,6125.0,5653.35107421875,42665400
2020-09-02,6125.0,6200.0,6050.0,6075.0,5607.201171875,46601800
2020-09-03,6075.0,6150.0,5950.0,5975.0,5514.90185546875,64507400
2020-09-04,5950.0,5975.0,5850.0,5925.0,5468.751953125,53422200
2020-09-07,5925.0,5950.0,5775.0,5850.0,5399.52685546875,50336800
2020-09-08,5900.0,6000.0,5875.0,5975.0,5514.90185546875,30173000
2020-09-09,5900.0,5900.0,5750.0,5775.0,5330.30224609375,49141100
2020-09-10,5525.0,5525.0,5375.0,5375.0,4961.10400390625,86387600
2020-09-11,5050.0,5525.0,5050.0,5475.0,5053.40380859375,135577900
2020-09-14,5475.0,5775.0,5475.0,5750.0,5307.2275390625,71784900
2020-09-15,5750.0,5825.0,5600.0,5675.0,5238.00244140625,64463700
2020-09-16,5750.0,5750.0,5625.0,5650.0,5214.927734375,28968000
2020-09-17,5600.0,5750.0,5525.0,5575.0,5145.70361328125,38216000
2020-09-18,5575.0,5675.0,5500.0,5575.0,5145.70361328125,45798300
2020-09-21,5575.0,5625.0,5400.0,5475.0,5053.40380859375,26465000
2020-09-22,5300.0,5425.0,5275.0,5300.0,4891.87939453125,56798300
2020-09-23,5300.0,5375.0,5125.0,5200.0,4799.57958984375,42355400
2020-09-24,5050.0,5150.0,5000.0,5075.0,4684.205078125,60982500
2020-09-25,5200.0,5350.0,5075.0,5350.0,4938.029296875,70227800
2020-09-28,5400.0,5425.0,5150.0,5150.0,4753.43017578125,49851300
2020-09-29,5200.0,5250.0,5025.0,5075.0,4684.205078125,55662800
2020-09-30,5100.0,5150.0,4860.0,4960.0,4578.060546875,75764900
2020-10-01,5000.0,5200.0,4980.0,5200.0,4799.57958984375,39477100
2020-10-02,5175.0,5225.0,5000.0,5200.0,4799.57958984375,49571700
2020-10-05,5250.0,5375.0,5175.0,5350.0,4938.029296875,37150400
2020-10-06,5500.0,5550.0,5450.0,5500.0,5076.478515625,44552200
2020-10-07,5400.0,5550.0,5375.0,5550.0,5122.62841796875,44374300
2020-10-08,5550.0,5575.0,5425.0,5450.0,5030.3291015625,44381700
2020-10-09,5450.0,5575.0,5450.0,5550.0,5122.62841796875,45124300
2020-10-12,5575.0,5650.0,5550.0,5625.0,5191.85302734375,38973500
2020-10-13,5625.0,5675.0,5525.0,5675.0,5238.00244140625,34931700
2020-10-14,5725.0,5775.0,5625.0,5775.0,5330.30224609375,54893600
2020-10-15,5700.0,5750.0,5600.0,5600.0,5168.7783203125,38644600
2020-10-16,5600.0,5650.0,5450.0,5575.0,5145.70361328125,33908900
2020-10-19,5600.0,5725.0,5575.0,5700.0,5261.07763671875,29468100
2020-10-20,5725.0,5750.0,5600.0,5650.0,5214.927734375,38606600
2020-10-21,5675.0,5725.0,5475.0,5525.0,5099.5537109375,56950900
2020-10-22,5500.0,5550.0,5400.0,5450.0,5030.3291015625,69350700
2020-10-23,5525.0,5575.0,5475.0,5550.0,5122.62841796875,32950100
2020-10-26,5625.0,5850.0,5625.0,5775.0,5330.30224609375,94287200
2020-10-27,5750.0,5850.0,5700.0,5775.0,5330.30224609375,56347900
2020-11-02,5675.0,6025.0,5600.0,5975.0,5514.90185546875,108431400
2020-11-03,5975.0,6000.0,5900.0,6000.0,5537.9765625,37981700
2020-11-04,5950.0,6025.0,5700.0,5700.0,5261.07763671875,76408700
2020-11-05,5875.0,6000.0,5825.0,5975.0,5514.90185546875,87938700
2020-11-06,5975.0,6100.0,5925.0,6050.0,5584.12646484375,82109500
2020-11-09,6250.0,6300.0,6050.0,6150.0,5676.42626953125,61326600
2020-11-10,6400.0,6525.0,6300.0,6375.0,5884.10009765625,124794400
2020-11-11,6425.0,6500.0,6350.0,6375.0,5884.10009765625,83245100
2020-11-12,6375.0,6400.0,6100.0,6175.0,5699.5009765625,68075300
2020-11-13,6100.0,6250.0,6075.0,6250.0,5768.7255859375,61021900
2020-11-16,6300.0,6450.0,6150.0,6200.0,5722.57568359375,66958800
2020-11-17,6275.0,6375.0,6200.0,6250.0,5768.7255859375,53130800
2020-11-18,6150.0,6350.0,6150.0,6350.0,5861.025390625,62468000
2020-11-19,6250.0,6350.0,6200.0,6325.0,5837.9501953125,47404100
2020-11-20,6275.0,6350.0,6250.0,6300.0,5814.87548828125,50286800
2020-11-23,6300.0,6425.0,6275.0,6400.0,5907.17529296875,53452700
2020-11-24,6450.0,6500.0,6375.0,6425.0,5930.25,70464600
2020-11-25,6500.0,6650.0,6500.0,6525.0,6022.5498046875,98852000
2020-11-26,6600.0,6725.0,6550.0,6725.0,6207.1484375,66137700
2020-11-27,6775.0,6800.0,6625.0,6650.0,6137.92431640625,62173400
2020-11-30,6550.0,6625.0,6225.0,6325.0,5837.9501953125,153950400
2020-12-01,6325.0,6625.0,6325.0,6525.0,6022.5498046875,88284000
2020-12-02,6525.0,6650.0,6475.0,6650.0,6137.92431640625,57360800
2020-12-03,6650.0,6675.0,6525.0,6575.0,6068.69970703125,77671200
2020-12-04,6500.0,6600.0,6425.0,6600.0,6091.7744140625,37488000
2020-12-07,6675.0,6750.0,6625.0,6700.0,6184.07373046875,66792900
2020-12-08,6675.0,6725.0,6600.0,6675.0,6160.9990234375,35175200
2020-12-10,6775.0,6850.0,6725.0,6800.0,6276.37353515625,93923500
2020-12-11,6850.0,6875.0,6700.0,6775.0,6253.29833984375,47270900
2020-12-14,6725.0,6800.0,6675.0,6725.0,6207.1484375,47322600
